,Combination,VotingType,F1Score
5551,DT+ETC+KNN+SVC_LIN+LGBM_RF+XGB+LR,hard,0.8612525685696418
5733,DT+ETC+SVC_RBF+LGBM_RF+XGB+LR+NB,hard,0.8612525685696418
3481,DT+RF+SVC_LIN+LGBM_RF+XGB+NB,hard,0.8612525685696418
5224,DT+RF+ETC+LGBM+LGBM_RF+XGB_RF+NB,soft,0.8612525685696418
527,SVC_RBF+XGB_RF+LR,hard,0.8612279226240539
3814,DT+ETC+LGBM_RF+XGB_RF+LR+NB,soft,0.8611507759432792
3736,DT+ETC+SVC_LIN+LGBM_RF+XGB_RF+NB,soft,0.8611507759432792
5147,DT+RF+ETC+SVC_LIN+LGBM+XGB+LR,hard,0.8611339460962095
3467,DT+RF+SVC_LIN+LGBM+XGB+LR,hard,0.8611339460962095
7621,DT+RF+ETC+KNN+SVC_LIN+LGBM+XGB+XGB_RF+LR,hard,0.8611339460962095
1767,DT+RF+LGBM+LGBM_RF+LR,hard,0.8611339460962095
6771,DT+RF+ETC+SVC_LIN+LGBM+XGB+XGB_RF+LR,hard,0.8611339460962095
5229,DT+RF+ETC+LGBM+XGB+XGB_RF+LR,hard,0.8611339460962095
1886,DT+ETC+SVC_LIN+LGBM_RF+NB,soft,0.8610794841455882
2057,DT+KNN+LGBM+XGB_RF+LR,hard,0.8610589952053367
5539,DT+ETC+KNN+SVC_LIN+LGBM+XGB+LR,hard,0.8610589952053367
2157,DT+SVC_RBF+LGBM+LGBM_RF+LR,hard,0.8610553324408746
7811,DT+ETC+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR,hard,0.8610553324408746
2103,DT+SVC_LIN+SVC_RBF+XGB+LR,hard,0.8609709746660652
3067,SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,hard,0.8609709746660652
238,DT+XGB_RF+NB,soft,0.8609231616183785
890,DT+LGBM_RF+XGB_RF+NB,soft,0.8609231616183785
3985,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF+LR,hard,0.8608852755194217
4011,DT+SVC_LIN+LGBM+XGB+XGB_RF+LR,hard,0.8608794150962825
7179,DT+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+XGB_RF+LR,hard,0.8608794150962825
7205,DT+KNN+SVC_LIN+LGBM+XGB+XGB_RF+LR+NB,hard,0.8608794150962825
4509,RF+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR,hard,0.8608252088316216
4523,RF+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR,hard,0.8608252088316216
2957,KNN+SVC_LIN+XGB+XGB_RF+LR,hard,0.8607827038861521
5765,DT+KNN+SVC_LIN+SVC_RBF+LGBM+XGB_RF+LR,hard,0.8607827038861521
5783,DT+KNN+SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,hard,0.8607827038861521
3796,DT+ETC+LGBM+LGBM_RF+XGB_RF+NB,soft,0.8607764390896921
4019,DT+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR,hard,0.8607723577235772
2099,DT+SVC_LIN+SVC_RBF+LGBM_RF+NB,hard,0.8605748245251618
5873,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR+NB,hard,0.8605748245251618
5887,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR+NB,hard,0.8605748245251618
5781,DT+KNN+SVC_LIN+SVC_RBF+LGBM_RF+LR+NB,hard,0.8604756564807028
3713,DT+ETC+SVC_LIN+LGBM+LGBM_RF+LR,hard,0.8604395604395604
3039,SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,hard,0.8603500421438842
1222,ETC+SVC_LIN+LGBM_RF+XGB_RF,soft,0.8603134055208175
1296,ETC+LGBM_RF+XGB_RF+LR,soft,0.8602258852258853
466,SVC_LIN+SVC_RBF+XGB_RF,soft,0.8602242088832126
2536,RF+SVC_LIN+LGBM+LGBM_RF+LR,soft,0.8601732511441114
6381,ETC+KNN+SVC_LIN+LGBM+LGBM_RF+XGB+LR,hard,0.8601176859336078
7135,DT+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+LR+NB,hard,0.8600823045267489
2376,RF+ETC+LGBM_RF+XGB_RF+LR,soft,0.8600823045267489
7151,DT+ETC+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8600823045267489
614,DT+RF+SVC_LIN+XGB_RF,soft,0.8600645321419708
7169,DT+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR,hard,0.8599869563724986
2069,DT+KNN+LGBM_RF+XGB_RF+LR,hard,0.8599869563724986
5855,DT+KNN+LGBM+LGBM_RF+XGB+LR+NB,hard,0.8599869563724986
1466,SVC_LIN+LGBM+XGB_RF+LR,soft,0.8599706552092262
5807,DT+KNN+SVC_LIN+LGBM+XGB+LR+NB,hard,0.8599706552092262
3963,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,hard,0.8599593495934958
5451,DT+RF+SVC_LIN+LGBM_RF+XGB+LR+NB,hard,0.8599533938222024
5444,DT+RF+SVC_LIN+LGBM+XGB_RF+LR+NB,soft,0.8599533938222024
7803,DT+RF+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8599206349206349
5455,DT+RF+SVC_LIN+XGB+XGB_RF+LR+NB,hard,0.8599206349206349
3232,DT+RF+ETC+SVC_LIN+XGB+XGB_RF,soft,0.8599206349206349
1997,DT+KNN+SVC_LIN+LGBM_RF+LR,hard,0.8597593071107283
2219,DT+LGBM_RF+XGB_RF+LR+NB,hard,0.8597392631216514
7227,DT+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+XGB+LR+NB,hard,0.8597392631216514
2516,RF+SVC_LIN+SVC_RBF+LGBM_RF+LR,soft,0.8597181665184439
2526,RF+SVC_LIN+SVC_RBF+XGB_RF+LR,soft,0.8597181665184439
7207,DT+KNN+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8597176161090353
3776,DT+ETC+SVC_RBF+LGBM_RF+XGB_RF+NB,soft,0.8596547485436373
2071,DT+KNN+LGBM_RF+XGB_RF+NB,hard,0.8596196633222787
5898,DT+SVC_LIN+LGBM+LGBM_RF+XGB_RF+LR+NB,soft,0.8596149989038618
6914,DT+RF+KNN+SVC_RBF+LGBM+XGB+XGB_RF+NB,soft,0.8595918557952742
5834,DT+KNN+SVC_RBF+LGBM+XGB+XGB_RF+NB,soft,0.8595918557952742
3900,DT+KNN+SVC_RBF+LGBM+XGB+NB,soft,0.8595918557952742
7182,DT+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+LR+NB,soft,0.8595918557952742
7752,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+XGB+LR+NB,soft,0.8595918557952742
5252,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+LR,soft,0.8595918557952742
5883,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8594944150499707
5671,DT+ETC+SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,hard,0.8594944150499707
5659,DT+ETC+SVC_LIN+SVC_RBF+LGBM_RF+XGB+XGB_RF,hard,0.8594944150499707
5419,DT+RF+SVC_LIN+SVC_RBF+XGB+XGB_RF+LR,hard,0.8594944150499707
5204,DT+RF+ETC+SVC_RBF+LGBM_RF+XGB_RF+NB,soft,0.8594861136581292
2087,DT+SVC_LIN+SVC_RBF+LGBM+XGB_RF,hard,0.8594304388422035
6844,DT+RF+KNN+SVC_LIN+SVC_RBF+LGBM+XGB_RF+LR,soft,0.8594304388422035
3332,DT+RF+KNN+SVC_LIN+LGBM+LR,soft,0.8594304388422035
6882,DT+RF+KNN+SVC_LIN+LGBM+XGB+XGB_RF+LR,soft,0.8594304388422035
6954,DT+RF+SVC_LIN+SVC_RBF+LGBM+XGB+XGB_RF+LR,soft,0.8594304388422035
6984,DT+RF+SVC_RBF+LGBM+LGBM_RF+XGB+XGB_RF+LR,soft,0.8594304388422035
3966,DT+SVC_LIN+SVC_RBF+LGBM+XGB+XGB_RF,soft,0.8594304388422035
5764,DT+KNN+SVC_LIN+SVC_RBF+LGBM+XGB_RF+LR,soft,0.8594304388422035
5817,DT+KNN+SVC_LIN+LGBM_RF+XGB_RF+LR+NB,hard,0.8594288121273913
3557,DT+RF+LGBM_RF+XGB+XGB_RF+LR,hard,0.8593919838899758
3987,DT+SVC_LIN+SVC_RBF+LGBM_RF+XGB_RF+NB,hard,0.8592870544090055
6547,KNN+SVC_LIN+LGBM_RF+XGB+XGB_RF+LR+NB,hard,0.8591936051986515
6541,KNN+SVC_LIN+LGBM+LGBM_RF+XGB+LR+NB,hard,0.8591779117618911
5755,DT+KNN+SVC_LIN+SVC_RBF+LGBM+LGBM_RF+LR,hard,0.8591463414634145
